h_nb_victories_total,h_nb_draws_total,h_season_points,h_nb_games_total,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_goals_scored_home,h_mean_nb_goals_scored_home,h_nb_goals_conceded_home,h_mean_nb_goals_conceded_home,h_last_n_games_points_home,h_season_wages,a_nb_victories_total,a_nb_draws_total,a_season_points,a_nb_games_total,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_goals_scored_away,a_mean_nb_goals_scored_away,a_nb_goals_conceded_away,a_mean_nb_goals_conceded_away,a_last_n_games_points,a_season_wages,home_win
1.0,2.0,5.0,7.0,4.0,1.0,2.0,1.0,3.0,0.75,3.0,0.75,5.0,47.0,6.0,1.0,19.0,9.0,3.0,2.0,0.0,0.0,5.0,1.6666666666666667,3.0,1.0,6.0,80.0,1
3.0,3.0,12.0,10.0,4.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,2.0,38.0,0.0,2.0,2.0,7.0,3.0,0.0,0.0,0.0,2.0,0.6666666666666666,8.0,2.6666666666666665,0.0,13.0,0
2.0,1.0,7.0,8.0,2.0,1.0,0.0,1.0,3.0,1.5,4.0,2.0,3.0,54.0,3.0,1.0,10.0,8.0,2.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,3.0,29.9,1
4.0,3.0,15.0,8.0,3.0,2.0,1.0,0.0,6.0,2.0,4.0,1.3333333333333333,7.0,133.0,2.0,2.0,8.0,8.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,54.0,1
3.0,1.0,10.0,9.0,3.0,2.0,0.0,1.0,8.0,2.6666666666666665,6.0,2.0,6.0,54.0,4.0,2.0,14.0,9.0,5.0,2.0,1.0,0.0,7.0,1.4,8.0,1.6,4.0,120.3,1
2.0,0.0,6.0,9.0,4.0,1.0,0.0,3.0,2.0,0.5,3.0,0.75,3.0,0.0,6.0,2.0,20.0,9.0,5.0,2.0,2.0,0.0,11.0,2.2,9.0,1.8,2.0,66.6,0
7.0,0.0,21.0,8.0,4.0,4.0,0.0,0.0,16.0,4.0,3.0,0.75,9.0,110.0,3.0,3.0,12.0,11.0,6.0,2.0,1.0,0.0,8.0,1.3333333333333333,9.0,1.5,4.0,38.0,1
6.0,1.0,19.0,10.0,6.0,4.0,1.0,1.0,13.0,2.1666666666666665,4.0,0.6666666666666666,7.0,80.0,7.0,0.0,21.0,9.0,4.0,2.0,0.0,0.0,7.0,1.75,6.0,1.5,3.0,174.7,1
4.0,2.0,14.0,9.0,5.0,2.0,2.0,1.0,9.0,1.8,10.0,2.0,5.0,54.5,3.0,1.0,10.0,9.0,3.0,1.0,0.0,0.0,3.0,1.0,6.0,2.0,3.0,29.9,0
2.0,3.0,9.0,9.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,0.6666666666666666,6.0,45.0,2.0,2.0,8.0,9.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,4.0,54.0,1
6.0,1.0,19.0,9.0,4.0,3.0,1.0,0.0,9.0,2.25,6.0,1.5,7.0,131.0,1.0,2.0,5.0,8.0,4.0,1.0,0.0,0.0,4.0,1.0,9.0,2.25,3.0,13.0,1
